Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Mohamed Salah,LIV,27,2259,17.0,11.0,3.0,14.11,9.54,3.95,17.95,7.10,0.56,0.38,0.16,0.72,0.54,0.72,0.28
Harry Kane,TOT,25,2197,16.0,13.0,13.0,14.42,12.13,6.74,17.98,3.60,0.59,0.50,0.28,0.87,0.77,0.74,0.15
Bruno Fernandes,MUN,28,2389,16.0,8.0,10.0,12.64,5.79,9.24,18.64,7.56,0.48,0.22,0.35,0.82,0.57,0.70,0.28
Son Heung-Min,TOT,27,2359,13.0,13.0,9.0,8.79,8.79,7.84,17.16,5.31,0.34,0.34,0.30,0.63,0.63,0.65,0.20
Patrick Bamford,LEE,27,2341,13.0,12.0,5.0,13.94,13.18,2.63,18.46,3.59,0.54,0.51,0.10,0.64,0.61,0.71,0.14
Dominic Calvert-Lewin,EVE,24,2068,13.0,13.0,0.0,13.68,13.68,0.85,14.11,3.64,0.60,0.60,0.04,0.63,0.63,0.61,0.16
Jamie Vardy,LEI,24,1960,12.0,6.0,5.0,14.61,9.29,2.17,11.18,0.98,0.67,0.43,0.10,0.77,0.53,0.51,0.04
Ilkay Gündogan,MCI,22,1660,11.0,10.0,1.0,7.93,6.41,2.99,14.93,7.66,0.43,0.35,0.16,0.59,0.51,0.81,0.42
Callum Wilson,NEW,21,1818,10.0,6.0,5.0,11.65,8.60,2.44,11.3,0.65,0.58,0.43,0.12,0.70,0.55,0.56,0.03
Ollie Watkins,AVL,26,2340,10.0,9.0,3.0,12.82,11.30,3.92,16.44,4.35,0.49,0.43,0.15,0.64,0.59,0.63,0.17
Pierre-Emerick Aubameyang,ARS,23,1841,9.0,7.0,1.0,8.65,7.13,1.57,12.16,3.66,0.42,0.35,0.08,0.50,0.43,0.59,0.18
Wilfried Zaha,CRY,20,1715,9.0,7.0,2.0,7.29,5.77,2.52,9.79,2.20,0.38,0.30,0.13,0.51,0.43,0.51,0.12
Marcus Rashford,MUN,28,2300,9.0,9.0,7.0,7.68,7.68,2.51,15.05,6.91,0.30,0.30,0.10,0.40,0.40,0.59,0.27
Raheem Sterling,MCI,25,2063,9.0,9.0,5.0,10.34,9.58,5.09,20.96,10.34,0.45,0.42,0.22,0.67,0.64,0.91,0.45
Alexandre Lacazette,ARS,23,1458,9.0,7.0,2.0,8.92,7.39,1.52,11.36,2.78,0.55,0.46,0.09,0.64,0.55,0.70,0.17
Harvey Barnes,LEI,25,1954,9.0,9.0,4.0,6.70,6.70,1.77,8.89,1.59,0.31,0.31,0.08,0.39,0.39,0.41,0.07
Danny Ings,SOU,22,1697,8.0,6.0,3.0,6.14,4.62,2.09,7.65,1.60,0.33,0.25,0.11,0.44,0.36,0.41,0.08
James Maddison,LEI,23,1642,8.0,8.0,5.0,2.95,2.95,3.96,8.31,4.47,0.16,0.16,0.22,0.38,0.38,0.46,0.24
Tomas Soucek,WHU,27,2430,8.0,8.0,0.0,6.33,6.33,1.14,10.73,5.90,0.23,0.23,0.04,0.28,0.28,0.40,0.22
Michail Antonio,WHU,18,1348,7.0,7.0,3.0,10.01,10.01,1.81,13.36,2.00,0.67,0.67,0.12,0.79,0.79,0.89,0.13
Riyad Mahrez,MCI,22,1570,7.0,7.0,4.0,4.67,4.67,5.27,14.31,5.98,0.27,0.27,0.30,0.57,0.57,0.82,0.34
Sadio Mané,LIV,25,2081,7.0,7.0,3.0,9.45,9.45,5.19,16.44,3.93,0.41,0.41,0.22,0.63,0.63,0.71,0.17
Neal Maupay,BHA,25,1884,7.0,4.0,2.0,11.30,8.26,3.43,13.54,2.82,0.54,0.39,0.16,0.70,0.56,0.65,0.13
Roberto Firmino,LIV,27,2179,6.0,6.0,5.0,10.52,10.52,3.29,18.63,7.46,0.43,0.43,0.14,0.57,0.57,0.77,0.31
Jack Grealish,AVL,22,1980,6.0,6.0,10.0,5.12,5.12,8.95,16.68,6.45,0.23,0.23,0.41,0.64,0.64,0.76,0.29
Tammy Abraham,CHE,20,1012,6.0,6.0,1.0,5.49,5.49,0.72,7.18,2.11,0.49,0.49,0.06,0.55,0.55,0.64,0.19
James Ward-Prowse,SOU,27,2430,6.0,5.0,5.0,2.38,1.62,2.62,7.88,6.97,0.09,0.06,0.10,0.19,0.16,0.29,0.26
Jorginho,CHE,19,1352,6.0,0.0,1.0,6.21,0.12,0.83,6.7,6.36,0.41,0.01,0.06,0.47,0.06,0.45,0.42
Edinson Cavani,MUN,18,910,6.0,6.0,2.0,6.47,6.47,1.64,8.78,1.96,0.64,0.64,0.16,0.80,0.80,0.87,0.19
Gabriel Jesus,MCI,20,1379,6.0,6.0,3.0,6.76,6.76,2.11,12.01,4.14,0.44,0.44,0.14,0.58,0.58,0.78,0.27
Anwar El Ghazi,AVL,16,810,6.0,4.0,0.0,5.31,3.79,1.33,4.6,1.69,0.59,0.42,0.15,0.74,0.57,0.51,0.19
Youri Tielemans,LEI,28,2459,6.0,4.0,3.0,3.40,1.88,1.83,11.43,8.40,0.12,0.07,0.07,0.19,0.14,0.42,0.31
Richarlison,EVE,23,1907,6.0,5.0,3.0,7.62,6.86,2.35,11.21,3.90,0.36,0.32,0.11,0.47,0.43,0.53,0.18
Phil Foden,MCI,21,1249,6.0,6.0,3.0,4.18,4.18,3.90,9.51,3.58,0.30,0.30,0.28,0.58,0.58,0.68,0.26
David McGoldrick,SHU,26,1628,6.0,6.0,1.0,5.63,5.63,0.93,7.74,2.69,0.31,0.31,0.05,0.36,0.36,0.43,0.15
Jack Harrison,LEE,26,2017,6.0,6.0,4.0,4.22,4.22,5.09,13.86,5.87,0.19,0.19,0.23,0.42,0.42,0.62,0.26
Timo Werner,CHE,27,2026,5.0,5.0,5.0,11.04,11.04,3.87,15.98,4.56,0.49,0.49,0.17,0.66,0.66,0.71,0.20
Christian Benteke,CRY,21,1066,5.0,5.0,1.0,3.99,3.99,0.62,4.96,2.29,0.34,0.34,0.05,0.39,0.39,0.42,0.19
Bertrand Traoré,AVL,24,1464,5.0,5.0,3.0,4.71,4.71,2.61,6.13,1.00,0.29,0.29,0.16,0.45,0.45,0.38,0.06
Jarrod Bowen,WHU,27,1889,5.0,5.0,3.0,5.24,5.24,3.21,9.56,2.67,0.25,0.25,0.15,0.40,0.40,0.46,0.13
James Rodríguez,EVE,18,1374,5.0,5.0,4.0,2.47,2.47,4.57,9.45,5.56,0.16,0.16,0.30,0.46,0.46,0.62,0.36
Gareth Bale,TOT,11,490,5.0,5.0,2.0,2.82,2.82,1.29,4.54,2.18,0.52,0.52,0.24,0.75,0.75,0.83,0.40
Chris Wood,BUR,23,1893,5.0,5.0,0.0,7.33,7.33,0.99,8.57,1.02,0.35,0.35,0.05,0.40,0.40,0.41,0.05
Nicolas Pepe,ARS,19,990,5.0,4.0,0.0,4.26,3.50,0.26,4.55,1.73,0.39,0.32,0.02,0.41,0.34,0.41,0.16
Pedro Neto,WOL,28,2359,5.0,5.0,5.0,4.84,4.84,5.37,10.19,3.82,0.18,0.18,0.21,0.39,0.39,0.39,0.15
Bobby Reid,FUL,25,1697,5.0,5.0,0.0,3.86,3.86,0.65,6.75,2.74,0.20,0.20,0.03,0.24,0.24,0.36,0.15
Rúben Neves,WOL,27,2004,5.0,2.0,1.0,4.28,2.00,1.67,4.97,3.10,0.19,0.09,0.08,0.27,0.16,0.22,0.14
Diogo Jota,LIV,11,613,5.0,5.0,0.0,2.68,2.68,1.48,5.24,1.68,0.39,0.39,0.22,0.61,0.61,0.77,0.25
Matheus Pereira,WBA,24,1824,5.0,3.0,3.0,4.04,2.52,3.80,6.22,1.99,0.20,0.12,0.19,0.39,0.31,0.31,0.10
Bukayo Saka,ARS,23,1962,5.0,5.0,2.0,6.66,6.66,3.61,14.74,6.26,0.31,0.31,0.17,0.47,0.47,0.68,0.29
Che Adams,SOU,26,2006,5.0,5.0,4.0,7.44,7.44,3.89,10.1,1.40,0.33,0.33,0.17,0.51,0.51,0.45,0.06
Mason Mount,CHE,27,2155,5.0,4.0,3.0,4.34,3.58,6.47,13.1,8.05,0.18,0.15,0.27,0.45,0.42,0.55,0.34
Raphinha,LEE,22,1715,5.0,5.0,5.0,4.68,4.68,6.76,12.7,5.12,0.25,0.25,0.35,0.60,0.60,0.67,0.27
Stuart Dallas,LEE,27,2422,5.0,5.0,2.0,2.83,2.83,1.73,12.52,9.55,0.11,0.11,0.06,0.17,0.17,0.47,0.35
Olivier Giroud,CHE,14,714,4.0,4.0,0.0,4.45,4.45,1.18,4.56,1.49,0.56,0.56,0.15,0.71,0.71,0.57,0.19
Anthony Martial,MUN,22,1494,4.0,4.0,3.0,7.41,7.41,2.62,11.81,3.32,0.45,0.45,0.16,0.60,0.60,0.71,0.20
Jesse Lingard,WHU,6,534,4.0,4.0,1.0,2.83,2.07,1.48,3.01,0.73,0.48,0.35,0.25,0.73,0.60,0.51,0.12
Gylfi Sigurdsson,EVE,26,1490,4.0,2.0,4.0,3.61,2.08,3.83,4.52,1.41,0.22,0.13,0.23,0.45,0.36,0.27,0.09
Kurt Zouma,CHE,17,1530,4.0,4.0,0.0,1.86,1.86,0.06,3.4,3.39,0.11,0.11,0.00,0.11,0.11,0.20,0.20
Raúl Jiménez,WOL,10,824,4.0,4.0,0.0,2.36,2.36,0.63,3.68,1.23,0.26,0.26,0.07,0.33,0.33,0.40,0.13
Ademola Lookman,FUL,25,2103,4.0,4.0,3.0,5.57,4.81,4.09,13.9,6.99,0.24,0.21,0.17,0.41,0.38,0.59,0.30
Scott McTominay,MUN,24,1514,4.0,4.0,1.0,1.04,1.04,2.03,8.47,6.01,0.06,0.06,0.12,0.18,0.18,0.50,0.36
Miguel Almirón,NEW,24,1594,4.0,4.0,1.0,2.30,2.30,2.01,5.73,2.06,0.13,0.13,0.11,0.24,0.24,0.32,0.12
Jannik Vestergaard,SOU,19,1662,3.0,3.0,0.0,1.78,1.78,0.65,3.52,3.46,0.10,0.10,0.04,0.13,0.13,0.19,0.19
Kevin De Bruyne,MCI,22,1754,3.0,1.0,11.0,8.58,6.29,9.33,18.23,9.25,0.44,0.32,0.48,0.92,0.80,0.94,0.47
John Stones,MCI,17,1530,3.0,3.0,0.0,1.71,1.71,0.01,8.72,8.70,0.10,0.10,0.00,0.10,0.10,0.51,0.51
Ross Barkley,AVL,18,1169,3.0,3.0,1.0,3.46,3.46,3.07,7.92,2.93,0.27,0.27,0.24,0.50,0.50,0.61,0.23
Kelechi Iheanacho,LEI,15,631,3.0,3.0,0.0,2.98,2.22,0.84,3.92,1.24,0.42,0.32,0.12,0.54,0.44,0.56,0.18
Craig Dawson,WHU,12,1080,3.0,3.0,0.0,2.21,2.21,0.05,1.13,1.13,0.18,0.18,0.00,0.19,0.19,0.09,0.09
Kyle Bartley,WBA,20,1683,3.0,3.0,1.0,2.47,2.47,0.60,2.18,1.32,0.13,0.13,0.03,0.16,0.16,0.12,0.07
Michael Keane,EVE,26,2176,3.0,3.0,1.0,1.39,1.39,0.96,4.78,4.63,0.06,0.06,0.04,0.10,0.10,0.20,0.19
Paul Pogba,MUN,19,1344,3.0,3.0,0.0,1.68,1.68,0.75,7.23,5.39,0.11,0.11,0.05,0.16,0.16,0.48,0.36
Rodrigo,LEE,19,1022,3.0,3.0,1.0,3.32,3.32,2.17,7.93,3.52,0.29,0.29,0.19,0.48,0.48,0.70,0.31
Lucas Moura,TOT,22,906,3.0,3.0,1.0,1.67,1.67,0.72,5.75,3.84,0.17,0.17,0.07,0.24,0.24,0.57,0.38
Hélder Costa,LEE,18,896,3.0,3.0,3.0,1.96,1.96,0.63,4.31,2.03,0.20,0.20,0.06,0.26,0.26,0.43,0.20
Romain Saiss,WOL,19,1689,3.0,3.0,0.0,1.81,1.81,0.34,2.93,2.20,0.10,0.10,0.02,0.11,0.11,0.16,0.12
Ivan Cavaleiro,FUL,26,1740,3.0,2.0,0.0,4.86,3.33,1.91,6.61,2.21,0.25,0.17,0.10,0.35,0.27,0.34,0.11
Mateusz Klich,LEE,27,2095,3.0,1.0,5.0,2.61,1.09,3.43,13.23,9.51,0.11,0.05,0.15,0.26,0.19,0.57,0.41
Ashley Barnes,BUR,18,1313,3.0,2.0,0.0,3.74,2.98,0.76,4.05,1.18,0.26,0.20,0.05,0.31,0.26,0.28,0.08
Daniel James,MUN,11,647,3.0,3.0,0.0,1.94,1.94,0.30,3.52,1.41,0.27,0.27,0.04,0.31,0.31,0.49,0.20
Tanguy NDombele Alvaro,TOT,24,1655,3.0,3.0,1.0,1.36,1.36,1.81,9.56,7.10,0.07,0.07,0.10,0.17,0.17,0.52,0.39
Lewis Dunk,BHA,24,2160,3.0,3.0,0.0,2.24,2.24,0.54,5.71,5.60,0.09,0.09,0.02,0.12,0.12,0.24,0.23
Sébastien Haller,WHU,16,933,3.0,3.0,0.0,2.55,2.55,1.13,3.66,0.85,0.25,0.25,0.11,0.36,0.36,0.35,0.08
Stuart Armstrong,SOU,22,1835,3.0,3.0,4.0,1.73,1.73,1.67,5.78,3.46,0.08,0.08,0.08,0.17,0.17,0.28,0.17
Billy Sharp,SHU,15,633,3.0,1.0,0.0,2.98,1.46,0.58,2.65,0.66,0.42,0.21,0.08,0.51,0.29,0.38,0.09
Takumi Minamino,LIV,14,628,3.0,3.0,0.0,2.27,2.27,0.44,4.18,1.54,0.33,0.33,0.06,0.39,0.39,0.60,0.22
Daniel Podence,WOL,18,1361,3.0,3.0,2.0,2.42,2.42,1.24,5.65,2.60,0.16,0.16,0.08,0.24,0.24,0.37,0.17
Eberechi Eze,CRY,26,1894,3.0,3.0,3.0,1.69,1.69,2.38,5.8,3.31,0.08,0.08,0.11,0.19,0.19,0.28,0.16
Allan Saint-Maximin,NEW,16,967,2.0,2.0,3.0,1.20,1.20,2.59,5.08,1.55,0.11,0.11,0.24,0.35,0.35,0.47,0.14
Pascal Groß,BHA,23,1501,2.0,0.0,4.0,3.57,1.28,4.15,7.25,4.57,0.21,0.08,0.25,0.46,0.33,0.43,0.27
Danny Welbeck,BHA,14,738,2.0,2.0,0.0,4.64,3.88,1.62,5.06,0.36,0.57,0.47,0.20,0.76,0.67,0.62,0.04
Theo Walcott,EVE,16,1264,2.0,2.0,2.0,1.96,1.96,0.75,3.73,1.21,0.14,0.14,0.05,0.19,0.19,0.27,0.09
Angelo Ogbonna,WHU,23,2043,2.0,2.0,0.0,1.08,1.08,0.43,3.3,3.07,0.05,0.05,0.02,0.07,0.07,0.15,0.14
Ola Aina,FUL,24,2097,2.0,2.0,1.0,0.79,0.79,1.47,6.46,5.90,0.03,0.03,0.06,0.10,0.10,0.28,0.25
Jeffrey Schlupp,CRY,17,1024,2.0,2.0,1.0,1.78,1.78,1.46,3.47,2.42,0.16,0.16,0.13,0.29,0.29,0.31,0.21
Georginio Wijnaldum,LIV,28,2288,2.0,2.0,0.0,2.49,2.49,1.30,10.57,7.74,0.10,0.10,0.05,0.15,0.15,0.42,0.30
Aleksandar Mitrovic,FUL,21,1025,2.0,1.0,3.0,4.40,2.88,2.38,6.08,1.66,0.39,0.25,0.21,0.60,0.46,0.53,0.15
Ben Chilwell,CHE,20,1674,2.0,2.0,4.0,1.70,1.70,1.57,7.47,6.21,0.09,0.09,0.08,0.18,0.18,0.40,0.33
Tyrone Mings,AVL,25,2204,2.0,2.0,1.0,1.90,1.90,0.18,4.62,4.40,0.08,0.08,0.01,0.08,0.08,0.19,0.18
Ben Mee,BUR,21,1885,2.0,2.0,0.0,1.02,1.02,0.35,1.24,1.22,0.05,0.05,0.02,0.07,0.07,0.06,0.06
Johann Berg Gudmundsson,BUR,14,820,2.0,2.0,0.0,1.14,1.14,0.23,1.54,0.34,0.13,0.13,0.03,0.15,0.15,0.17,0.04
Harry Maguire,MUN,28,2520,2.0,2.0,1.0,1.27,1.27,0.27,10.31,10.22,0.05,0.05,0.01,0.06,0.06,0.37,0.37
Abdoulaye Doucouré,EVE,25,2149,2.0,2.0,3.0,2.13,2.13,2.23,9.26,6.03,0.09,0.09,0.09,0.18,0.18,0.39,0.25
Jeff Hendrick,NEW,18,1381,2.0,2.0,1.0,1.11,1.11,1.43,3.53,1.31,0.07,0.07,0.09,0.17,0.17,0.23,0.09
Pablo Fornals,WHU,24,1822,2.0,2.0,3.0,3.90,3.90,1.50,9.96,4.89,0.19,0.19,0.07,0.27,0.27,0.49,0.24
Thiago Silva,CHE,17,1460,2.0,2.0,0.0,1.11,1.11,0.19,5.58,5.38,0.07,0.07,0.01,0.08,0.08,0.34,0.33
Serge Aurier,TOT,14,1169,2.0,2.0,1.0,1.30,1.30,2.99,6.51,3.77,0.10,0.10,0.23,0.33,0.33,0.50,0.29
Bernardo Silva,MCI,20,1570,2.0,2.0,3.0,3.19,3.19,3.16,12.41,7.50,0.18,0.18,0.18,0.36,0.36,0.71,0.43
Callum Robinson,WBA,21,1193,2.0,2.0,0.0,1.76,1.76,0.46,2.63,1.02,0.13,0.13,0.03,0.17,0.17,0.20,0.08
Semi Ajayi,WBA,24,2099,2.0,2.0,0.0,0.85,0.85,0.14,2.29,1.79,0.04,0.04,0.01,0.04,0.04,0.10,0.08
Aaron Wan-Bissaka,MUN,26,2340,2.0,2.0,2.0,0.89,0.89,1.75,9.52,7.56,0.03,0.03,0.07,0.10,0.10,0.37,0.29
Josh Maja,FUL,7,510,2.0,2.0,0.0,3.40,3.40,0.48,3.74,0.41,0.60,0.60,0.08,0.68,0.68,0.66,0.07
Gabriel,ARS,15,1274,2.0,2.0,0.0,1.41,1.41,0.03,3.36,3.35,0.10,0.10,0.00,0.10,0.10,0.24,0.24
Jairo Riedewald,CRY,24,1234,2.0,2.0,0.0,0.50,0.50,0.83,3.23,2.10,0.04,0.04,0.06,0.10,0.10,0.24,0.15
Solly March,BHA,21,1684,2.0,2.0,1.0,1.78,1.78,1.68,8.32,5.68,0.10,0.10,0.09,0.19,0.19,0.44,0.30
Ferrán Torres,MCI,15,807,2.0,2.0,2.0,2.73,2.73,1.53,6.31,2.36,0.30,0.30,0.17,0.48,0.48,0.70,0.26
Callum Hudson-Odoi,CHE,18,886,2.0,2.0,2.0,1.11,1.11,2.58,5.46,3.70,0.11,0.11,0.26,0.37,0.37,0.56,0.38
Yerry Mina,EVE,19,1637,2.0,2.0,0.0,1.50,1.50,0.02,3.56,3.46,0.08,0.08,0.00,0.08,0.08,0.20,0.19
Leandro Trossard,BHA,24,1842,2.0,2.0,4.0,3.82,3.82,4.44,10.9,4.70,0.19,0.19,0.22,0.40,0.40,0.53,0.23
Ezri Konsa Ngoyo,AVL,24,2112,2.0,2.0,0.0,2.52,2.52,0.09,1.93,1.88,0.11,0.11,0.00,0.11,0.11,0.08,0.08
James Justin,LEI,23,2070,2.0,2.0,1.0,1.52,1.52,2.06,7.67,5.51,0.07,0.07,0.09,0.16,0.16,0.33,0.24
Aaron Connolly,BHA,15,733,2.0,2.0,1.0,4.39,4.39,0.15,4.7,0.19,0.54,0.54,0.02,0.56,0.56,0.58,0.02
Ezgjan Alioski,LEE,25,1538,2.0,2.0,0.0,1.28,1.28,2.25,8.82,6.12,0.07,0.07,0.13,0.21,0.21,0.52,0.36
Fabio Silva,WOL,22,787,2.0,1.0,0.0,4.02,3.25,0.23,2.66,0.79,0.46,0.37,0.03,0.49,0.40,0.30,0.09
Conor Gallagher,WBA,22,1884,2.0,2.0,2.0,1.00,1.00,1.16,3.87,2.49,0.05,0.05,0.06,0.10,0.10,0.19,0.12
Jayden Bogle,SHU,11,796,2.0,2.0,0.0,1.61,1.61,0.21,2.2,1.11,0.18,0.18,0.02,0.21,0.21,0.25,0.13
Joelinton,NEW,21,1363,1.0,1.0,2.0,1.96,1.96,1.26,4.73,1.75,0.13,0.13,0.08,0.21,0.21,0.31,0.12
Granit Xhaka,ARS,23,1912,1.0,1.0,2.0,0.64,0.64,1.26,10.34,9.37,0.03,0.03,0.06,0.09,0.09,0.49,0.44
Joel Matip,LIV,10,701,1.0,1.0,2.0,0.78,0.78,1.18,4.38,4.38,0.10,0.10,0.15,0.25,0.25,0.56,0.56
Pierre-Emile Højbjerg,TOT,27,2430,1.0,1.0,3.0,0.49,0.49,1.30,12.5,11.65,0.02,0.02,0.05,0.07,0.07,0.46,0.43
Adam Lallana,BHA,21,992,1.0,1.0,1.0,1.17,1.17,2.36,5.99,2.66,0.11,0.11,0.21,0.32,0.32,0.54,0.24
Héctor Bellerín,ARS,22,1917,1.0,1.0,2.0,0.43,0.43,2.16,6.95,5.30,0.02,0.02,0.10,0.12,0.12,0.33,0.25
Alex Iwobi,EVE,24,1228,1.0,1.0,2.0,0.57,0.57,2.04,5.88,3.50,0.04,0.04,0.15,0.19,0.19,0.43,0.26
Scott Dann,CRY,12,1080,1.0,1.0,0.0,0.55,0.55,0.02,1.14,1.12,0.05,0.05,0.00,0.05,0.05,0.10,0.09
Cheikhou Kouyaté,CRY,26,2226,1.0,1.0,0.0,0.82,0.82,0.74,3.99,3.80,0.03,0.03,0.03,0.06,0.06,0.16,0.15
Manuel Lanzini,WHU,12,369,1.0,1.0,1.0,0.90,0.90,0.82,2.13,0.64,0.22,0.22,0.20,0.42,0.42,0.52,0.15
Andy Carroll,NEW,15,366,1.0,1.0,0.0,0.60,0.60,0.06,0.84,0.39,0.15,0.15,0.02,0.16,0.16,0.21,0.10
Nathan Aké,MCI,6,468,1.0,1.0,0.0,0.40,0.40,0.02,2.75,2.74,0.08,0.08,0.00,0.08,0.08,0.53,0.53
Jordan Henderson,LIV,21,1710,1.0,1.0,1.0,1.14,1.14,1.48,11.49,10.46,0.06,0.06,0.08,0.14,0.14,0.60,0.55
Kyle Walker,MCI,19,1494,1.0,1.0,1.0,0.19,0.19,0.47,6.55,6.20,0.01,0.01,0.03,0.04,0.04,0.39,0.37
Toby Alderweireld,TOT,17,1523,1.0,1.0,0.0,0.42,0.42,0.91,4.64,4.61,0.02,0.02,0.05,0.08,0.08,0.27,0.27
Ashley Westwood,BUR,28,2512,1.0,1.0,2.0,0.26,0.26,5.15,6.5,3.73,0.01,0.01,0.18,0.19,0.19,0.23,0.13
Jordan Ayew,CRY,24,1574,1.0,1.0,3.0,1.79,1.79,0.69,3.56,1.76,0.10,0.10,0.04,0.14,0.14,0.20,0.10
César Azpilicueta,CHE,18,1483,1.0,1.0,1.0,0.48,0.48,1.38,8.76,7.49,0.03,0.03,0.08,0.11,0.11,0.53,0.45
Ruben Loftus-Cheek,CHE,23,1652,1.0,1.0,0.0,3.04,3.04,1.17,7.01,3.51,0.17,0.17,0.06,0.23,0.23,0.38,0.19
Gary Cahill,CRY,13,1170,1.0,1.0,0.0,0.23,0.23,0.30,1.37,1.37,0.02,0.02,0.02,0.04,0.04,0.11,0.11
Dwight Gayle,NEW,10,189,1.0,1.0,0.0,0.45,0.45,0.08,0.46,0.12,0.21,0.21,0.04,0.25,0.25,0.22,0.06
Daniel Amartey,LEI,10,576,1.0,1.0,0.0,0.54,0.54,0.00,2.3,2.23,0.08,0.08,0.00,0.08,0.08,0.36,0.35
Jamaal Lascelles,NEW,16,1363,1.0,1.0,0.0,0.49,0.49,0.07,1.91,1.84,0.03,0.03,0.00,0.04,0.04,0.13,0.12
Jonjo Shelvey,NEW,19,1627,1.0,1.0,1.0,1.53,1.53,1.33,5.75,4.77,0.08,0.08,0.07,0.16,0.16,0.32,0.26
Ayoze Pérez,LEI,16,889,1.0,1.0,0.0,2.56,2.56,1.06,6.49,4.08,0.26,0.26,0.11,0.37,0.37,0.66,0.41
Andros Townsend,CRY,26,1800,1.0,1.0,4.0,1.81,1.81,2.96,6.35,3.51,0.09,0.09,0.15,0.24,0.24,0.32,0.18
Robbie Brady,BUR,18,1040,1.0,1.0,1.0,0.74,0.74,0.91,2.56,1.41,0.06,0.06,0.08,0.14,0.14,0.22,0.12
Nathan Redmond,SOU,18,951,1.0,1.0,1.0,2.17,2.17,1.31,4.5,1.97,0.21,0.21,0.12,0.33,0.33,0.43,0.19
Virgil van Dijk,LIV,5,370,1.0,1.0,0.0,0.55,0.55,0.00,1.41,1.29,0.13,0.13,0.00,0.13,0.13,0.34,0.31
Oriol Romeu,SOU,20,1748,1.0,1.0,1.0,0.45,0.45,1.54,6.12,4.94,0.02,0.02,0.08,0.10,0.10,0.31,0.25
Jay Rodriguez,BUR,23,1115,1.0,1.0,2.0,1.83,1.83,1.21,2.93,0.57,0.15,0.15,0.10,0.25,0.25,0.24,0.05
Ciaran Clark,NEW,16,1383,1.0,1.0,0.0,0.66,0.66,0.14,1.57,1.57,0.04,0.04,0.01,0.05,0.05,0.10,0.10
Mason Holgate,EVE,17,1517,1.0,1.0,0.0,1.28,1.28,0.27,2.11,1.96,0.08,0.08,0.02,0.09,0.09,0.13,0.12
Luke Shaw,MUN,24,1939,1.0,1.0,5.0,0.58,0.58,5.24,8.62,6.22,0.03,0.03,0.24,0.27,0.27,0.40,0.29
Matej Vydra,BUR,18,782,1.0,1.0,0.0,2.94,2.94,1.40,3.57,0.78,0.34,0.34,0.16,0.50,0.50,0.41,0.09
Dennis Praet,LEI,13,666,1.0,1.0,1.0,0.44,0.44,1.22,2.05,1.23,0.06,0.06,0.16,0.22,0.22,0.28,0.17
Mario Lemina,FUL,20,1016,1.0,1.0,0.0,1.12,1.12,0.48,4.31,2.89,0.10,0.10,0.04,0.14,0.14,0.38,0.26
Marcos Alonso,CHE,9,705,1.0,1.0,0.0,0.98,0.98,1.54,3.28,1.87,0.13,0.13,0.20,0.32,0.32,0.42,0.24
Matthew Lowton,BUR,24,2160,1.0,1.0,0.0,0.59,0.59,1.86,4.43,2.34,0.02,0.02,0.08,0.10,0.10,0.18,0.10
David Luiz,ARS,17,1175,1.0,1.0,0.0,0.55,0.55,0.52,2.93,2.82,0.04,0.04,0.04,0.08,0.08,0.22,0.22
Michy Batshuayi,CRY,16,686,1.0,1.0,1.0,1.30,1.30,1.65,3.65,1.48,0.17,0.17,0.22,0.39,0.39,0.48,0.19
Andrew Robertson,LIV,28,2517,1.0,1.0,5.0,1.31,1.31,5.53,15.3,11.68,0.05,0.05,0.20,0.24,0.24,0.55,0.42
Oliver McBurnie,SHU,21,1206,1.0,1.0,0.0,3.46,3.46,1.05,5.98,2.56,0.26,0.26,0.08,0.34,0.34,0.45,0.19
Matt Phillips,WBA,23,1041,1.0,1.0,1.0,2.14,2.14,1.78,3.44,0.91,0.18,0.18,0.15,0.34,0.34,0.30,0.08
Trent Alexander-Arnold,LIV,26,2140,1.0,1.0,3.0,1.69,1.69,5.13,16.41,13.18,0.07,0.07,0.22,0.29,0.29,0.69,0.55
João Cancelo,MCI,22,1859,1.0,1.0,2.0,1.61,1.61,3.97,15.03,12.05,0.08,0.08,0.19,0.27,0.27,0.73,0.58
Rodri,MCI,26,2089,1.0,0.0,1.0,1.79,1.03,2.01,17.01,15.43,0.08,0.04,0.09,0.16,0.13,0.73,0.66
Christian Pulisic,CHE,18,1004,1.0,1.0,1.0,3.34,3.34,1.32,7.27,3.66,0.30,0.30,0.12,0.42,0.42,0.65,0.33
Issa Diop,WHU,8,657,1.0,1.0,0.0,0.66,0.66,0.00,0.37,0.37,0.09,0.09,0.00,0.09,0.09,0.05,0.05
Benjamin Mendy,MCI,6,508,1.0,1.0,0.0,0.15,0.15,0.06,1.33,1.18,0.03,0.03,0.01,0.04,0.04,0.24,0.21
João Moutinho,WOL,26,1957,1.0,1.0,1.0,0.34,0.34,1.26,5.8,5.20,0.02,0.02,0.06,0.07,0.07,0.27,0.24
Darnell Furlong,WBA,25,2026,1.0,1.0,2.0,1.00,1.00,1.93,3.58,1.88,0.04,0.04,0.09,0.13,0.13,0.16,0.08
