Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Oriol Romeu,SOU,4.5,MID,4.7%,2.0,22.0,590.0,1.0,0.0,3.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,87.0,146.6,52.6,42.0,24.1,2.0,0.0,0.4,4.9,3.1,250855.0,214954.0,0.0,0.0,7,1.0,0.15,0.15,0.09,1.98,1.87,0.02,0.02,0.01,0.04,0.04,0.3,0.28,5,7,4,1,2.0,14.0,12,13,8.36,7.6,8.91,8.15,-0.54,9.29,11.31,43.0,36.0,9.46
McCarthy,SOU,4.5,GKP,19.4%,3.3,27.0,630.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,137.0,159.2,0.0,0.0,16.0,3.3,1.0,0.7,6.0,3.9,504935.0,628323.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0,0.12,0.12,5,7,4,1,2.0,14.0,12,13,8.36,7.6,8.91,8.15,-0.54,9.29,11.31,43.0,36.0,9.46
Walker-Peters,SOU,4.5,DEF,10.9%,2.3,22.0,630.0,0.0,1.0,3.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,125.0,134.6,52.7,36.0,22.4,2.3,0.0,0.5,4.9,3.1,400595.0,416355.0,0.0,0.0,7,0.0,0.16,0.16,0.48,1.74,1.36,0.02,0.02,0.07,0.09,0.09,0.25,0.19,5,7,4,1,2.0,14.0,12,13,8.36,7.6,8.91,8.15,-0.54,9.29,11.31,43.0,36.0,9.46
Ward-Prowse,SOU,5.9,MID,4.4%,10.0,40.0,630.0,3.0,1.0,3.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,168.0,200.0,168.4,71.0,44.0,10.0,2.0,1.7,6.8,5.7,213075.0,206058.0,-1.0,1.0,7,3.0,0.65,0.65,0.97,1.48,1.16,0.09,0.09,0.14,0.23,0.23,0.21,0.17,5,7,4,1,2.0,14.0,12,13,8.36,7.6,8.91,8.15,-0.54,9.29,11.31,43.0,36.0,9.46
Ings,SOU,8.5,FWD,17.8%,7.7,47.0,624.0,5.0,2.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,187.0,251.8,84.7,234.0,57.0,7.7,1.0,0.9,5.5,6.7,697060.0,1061859.0,0.0,0.0,7,4.0,2.48,1.72,0.39,2.36,0.51,0.36,0.25,0.06,0.41,0.3,0.34,0.07,5,7,4,1,2.0,14.0,12,13,8.36,7.6,8.91,8.15,-0.54,9.29,11.31,43.0,36.0,9.46
Bertrand,SOU,5.0,DEF,1.3%,3.0,24.0,618.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,106.0,75.2,117.3,39.0,23.1,3.0,0.0,0.6,4.8,3.4,47546.0,56978.0,0.0,0.0,7,0.0,0.06,0.06,0.51,1.75,1.54,0.01,0.01,0.07,0.08,0.08,0.25,0.22,5,7,4,1,2.0,14.0,12,13,8.36,7.6,8.91,8.15,-0.54,9.29,11.31,43.0,36.0,9.46
Adams,SOU,5.8,FWD,2.5%,8.0,34.0,585.0,2.0,3.0,3.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,105.0,144.0,94.6,213.0,45.3,8.0,1.0,1.4,5.9,4.9,149173.0,276628.0,-2.0,2.0,7,2.0,3.11,3.11,1.09,3.34,0.65,0.47,0.47,0.16,0.63,0.63,0.5,0.1,5,7,4,1,2.0,14.0,12,13,8.36,7.6,8.91,8.15,-0.54,9.29,11.31,43.0,36.0,9.46
Bednarek,SOU,4.5,DEF,2.1%,2.7,23.0,540.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,122.0,98.8,14.4,23.0,13.6,2.7,0.0,0.6,5.1,3.3,46401.0,103896.0,0.0,0.0,7,0.0,0.1,0.1,0.04,1.45,1.41,0.02,0.02,0.01,0.02,0.02,0.24,0.23,5,7,4,1,2.0,14.0,12,13,8.36,7.6,8.91,8.15,-0.54,9.29,11.31,43.0,36.0,9.46
Vestergaard,SOU,4.6,DEF,4.4%,6.7,34.0,495.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,150.0,196.2,15.1,59.0,27.1,6.7,0.0,1.5,7.4,5.7,292466.0,36695.0,1.0,-1.0,6,2.0,0.5,0.5,0.51,1.11,1.11,0.09,0.09,0.09,0.18,0.18,0.2,0.2,5,7,4,1,2.0,14.0,12,13,8.36,7.6,8.91,8.15,-0.54,9.29,11.31,43.0,36.0,9.46
Armstrong,SOU,5.5,MID,0.2%,2.7,19.0,422.0,0.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,69.8,87.5,49.0,20.7,2.7,0.0,0.5,3.5,3.8,8949.0,21023.0,0.0,0.0,5,0.0,0.42,0.42,0.41,1.13,0.55,0.09,0.09,0.09,0.17,0.17,0.24,0.12,5,7,4,1,2.0,14.0,12,13,8.36,7.6,8.91,8.15,-0.54,9.29,11.31,43.0,36.0,9.46
